                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38608,                0.55871,                0.40551,                0.80406,                0.90968,                0.90031,                0.95417,                0.82951,                0.90968,                0.90031,                0.95417,                0.86434,                0.40293,                0.37615,                0.46228,                0.85883,             0.00021671,             0.00021671,             0.00021671
                      2,                0.42582,                0.66058,                0.57398,                0.81675,                0.97858,                0.66667,                0.76835,                0.66677,                0.98102,                 0.7385,                0.87307,                0.64253,                 0.5106,                0.51141,                0.57347,                0.92935,             0.00040553,             0.00040553,             0.00040553
                      3,                0.43872,                0.63374,                0.57001,                0.82909,                0.65339,                   0.75,                0.77641,                0.61656,                0.65339,                   0.75,                0.77641,                0.62187,                0.47522,                 0.4022,                0.78264,                0.87534,             0.00054814,             0.00054814,             0.00054814
                      4,                0.44842,                0.54785,                0.53531,                0.81089,                0.85389,                0.91667,                0.94447,                0.82821,                0.85389,                0.91667,                0.94447,                0.80956,                0.41681,                0.45038,                0.58851,                0.85716,             0.00064455,             0.00064455,             0.00064455
                      5,                0.47978,                 0.6828,                0.56649,                0.83984,                0.78073,                0.98941,                0.96612,                0.85055,                0.78073,                0.98941,                0.96612,                0.84741,                0.46348,                0.37546,                0.86773,                0.87669,             0.00069474,             0.00069474,             0.00069474
                      6,                0.47475,                0.59145,                0.56548,                0.83168,                0.83917,                0.83333,                0.85246,                0.75018,                0.83917,                0.83333,                0.85246,                0.78449,                0.48906,                0.40205,                0.51766,                0.87503,             0.00069872,             0.00069872,             0.00069872
                      7,                0.41448,                0.54319,                 0.5232,                0.81083,                0.85841,                0.72619,                0.76856,                0.64159,                0.85841,                0.72619,                0.76856,                0.63773,                0.50817,                0.37326,                0.60441,                0.90744,              0.0006565,              0.0006565,              0.0006565
                      8,                0.43164,                0.60183,                0.47354,                0.82105,                0.91828,                0.72115,                0.74748,                0.69551,                0.91828,                0.72115,                0.74748,                0.65775,                0.41056,                0.44428,                  1.925,                0.83935,             0.00051177,             0.00051177,             0.00051177
                      9,                0.40421,                 0.5206,                0.43229,                0.80605,                0.84829,                0.99928,                0.89034,                 0.8006,                0.84829,                0.99928,                0.89034,                 0.7845,                0.40475,                0.35767,                0.49448,                0.83074,             0.00051177,             0.00051177,             0.00051177
                     10,                0.37087,                0.46489,                0.41046,                0.80513,                0.91563,                0.99547,                0.92393,                0.85698,                0.91563,                0.99547,                0.92393,                0.85301,                0.35072,                0.35848,                 0.4078,                0.82494,             0.00034674,             0.00034674,             0.00034674
