                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2466,                 2.2671,                 3.6964,                 1.1464,                0.00764,                    0.1,                0.03575,                 0.0256,                0.00679,                0.08889,                0.03102,                0.02785,                 0.8332,                 1.0897,                 3.6038,                0.94705,                      0,                      0,                      0
                      2,                 1.2248,                  1.921,                 3.8997,                  1.054,                0.00768,                    0.1,                0.03507,                0.02762,                0.00768,                    0.1,                0.03507,                0.02833,                0.79953,                 1.0628,                 3.5919,                0.93529,             1.3369e-05,             1.3369e-05,             1.3369e-05
                      3,                 1.2815,                 2.0992,                 3.8374,                 1.0741,                0.00764,                    0.1,                0.03692,                0.02809,                0.00679,                0.08889,                0.03068,                0.02767,                0.74852,                 1.0294,                 3.5728,                0.91811,             2.0137e-05,             2.0137e-05,             2.0137e-05
                      4,                 1.4044,                 2.2351,                 3.8906,                 1.0878,                0.00768,                    0.1,                0.03689,                0.03171,                0.00768,                    0.1,                0.03798,                0.03356,                0.71093,                  1.003,                 3.5501,                0.90532,             2.0304e-05,             2.0304e-05,             2.0304e-05
                      5,                 1.1838,                 1.7171,                 3.7165,                 1.0256,                0.00775,                    0.1,                0.04105,                0.03531,                0.00775,                    0.1,                0.04105,                0.03672,                0.68319,                0.98257,                 3.5405,                0.89633,             1.3869e-05,             1.3869e-05,             1.3869e-05
